1,CCl+,0.00E+00,47.0
2,CF+,0.00E+00,31.0
3,SiF+,0.00E+00,47.0
4,F+,1.80E-08,19.0
5,H2CN,0.00E+00,28.0
6,HF+,0.00E+00,20.0
7,HeH+,0.00E+00,5.0
8,PAH-,0.00E+00,420.0
9,H2S2,0.00E+00,66.0
10,N2O,0.00E+00,44.0
11,SiCH3,0.00E+00,43.0
12,H2*,0.00E+00,2.0
13,CH5N,0.00E+00,31.0
14,Fe,0.00E+00,56.0
15,He+,0.00E+00,4.0
16,H2O2,0.00E+00,34.0
17,SiH4+,0.00E+00,32.0
18,H2SiO,0.00E+00,46.0
19,HCS,0.00E+00,45.0
20,HS2,0.00E+00,65.0
21,SiH2,0.00E+00,30.0
22,SiH4,0.00E+00,32.0
23,HNS+,0.00E+00,47.0
24,PAH+,6.00E-07,420.0
25,CH6N+,0.00E+00,32.0
26,H2F+,0.00E+00,21.0
27,H2SiO+,0.00E+00,46.0
28,HSO+,0.00E+00,49.0
29,Cl+,1.00E-07,35.0
30,H2Cl+,0.00E+00,37.0
31,HNSi,0.00E+00,43.0
32,HSiS+,0.00E+00,61.0
33,O2H,0.00E+00,33.0
34,NS,0.00E+00,46.0
35,SiC,0.00E+00,40.0
36,CH5N+,0.00E+00,31.0
37,H2S2+,0.00E+00,66.0
38,H3S2+,0.00E+00,67.0
39,HCl+,0.00E+00,36.0
40,S2+,0.00E+00,64.0
41,PAH,0.00E+00,420.0
42,SiS+,0.00E+00,60.0
43,HNSi+,0.00E+00,43.0
44,SiH5+,0.00E+00,33.0
45,HCSi,0.00E+00,41.0
46,HCl,0.00E+00,36.0
47,S2,0.00E+00,64.0
48,CH3N,0.00E+00,29.0
49,SiS,0.00E+00,60.0
50,SiH,0.00E+00,29.0
51,O2H+,0.00E+00,33.0
52,H2NO+,0.00E+00,32.0
53,H3SiO+,0.00E+00,47.0
54,HF,0.00E+00,20.0
55,SiCH2,0.00E+00,42.0
56,H2CS,0.00E+00,46.0
57,SiCH4+,0.00E+00,44.0
58,SiN+,0.00E+00,42.0
59,SiNH2+,0.00E+00,44.0
60,SiCH3+,0.00E+00,43.0
61,H2CS+,0.00E+00,46.0
62,HOC+,0.00E+00,29.0
63,SiN,0.00E+00,42.0
64,NS+,0.00E+00,46.0
65,H3CS+,0.00E+00,47.0
66,S2H+,0.00E+00,65.0
67,F,0.00E+00,19.0
68,SiH3,0.00E+00,31.0
69,H3+,0.00E+00,3.0
70,CH4O+,0.00E+00,32.0
71,CH4N+,0.00E+00,30.0
72,Cl,0.00E+00,35.0
73,CH5O+,0.00E+00,33.0
74,SiO+,0.00E+00,44.0
75,HNC+,0.00E+00,27.0
76,N2+,0.00E+00,28.0
77,SiH2+,0.00E+00,30.0
78,SiH3+,0.00E+00,31.0
79,C2H5+,0.00E+00,29.0
80,H2NC+,0.00E+00,28.0
81,CH5+,0.00E+00,17.0
82,SiOH+,0.00E+00,45.0
83,SiC+,0.00E+00,40.0
84,SO+,0.00E+00,48.0
85,HNO+,0.00E+00,31.0
86,SiH+,0.00E+00,29.0
87,CH4+,0.00E+00,16.0
88,HCSi+,0.00E+00,41.0
89,SiCH2+,0.00E+00,42.0
90,N2H+,0.00E+00,29.0
91,CN+,0.00E+00,26.0
92,HCS+,0.00E+00,45.0
93,N+,0.00E+00,14.0
94,SO,0.00E+00,48.0
95,O+,0.00E+00,16.0
96,H2+,0.00E+00,2.0
97,CH4O,0.00E+00,32.0
98,HNC,0.00E+00,27.0
99,CS+,0.00E+00,44.0
100,SiO,0.00E+00,44.0
101,O2+,0.00E+00,32.0
102,H3S+,0.00E+00,35.0
103,C2H4+,0.00E+00,28.0
104,HNO,0.00E+00,31.0
105,OH+,0.00E+00,17.0
106,NH3,0.00E+00,17.0
107,C2+,0.00E+00,24.0
108,NH+,0.00E+00,15.0
109,H2S,0.00E+00,34.0
110,CS,0.00E+00,44.0
111,H3CO,0.00E+00,31.0
112,HCN+,0.00E+00,27.0
113,Fe+,1.50E-08,56.0
114,H2S+,0.00E+00,34.0
115,H+,0.00E+00,1.0
116,H2O+,0.00E+00,18.0
117,C2H4,0.00E+00,28.0
118,C2H3,0.00E+00,27.0
119,CO+,0.00E+00,28.0
120,NH2+,0.00E+00,16.0
121,C2H,0.00E+00,25.0
122,C2,0.00E+00,24.0
123,C+,1.40E-04,12.0
124,H2CO+,0.00E+00,30.0
125,Si,0.00E+00,28.0
126,HS+,0.00E+00,33.0
127,C2H3+,0.00E+00,27.0
128,H3CO+,0.00E+00,31.0
129,H3O+,0.00E+00,19.0
130,Si+,1.70E-06,28.0
131,C2H+,0.00E+00,25.0
132,S+,1.80E-05,32.0
133,NH4+,0.00E+00,18.0
134,C2H2+,0.00E+00,26.0
135,CH3+,0.00E+00,15.0
136,CH+,0.00E+00,13.0
137,CH2+,0.00E+00,14.0
138,NH2,0.00E+00,16.0
139,NH3+,0.00E+00,17.0
140,HS,0.00E+00,33.0
141,C2H2,0.00E+00,26.0
142,NO+,0.00E+00,30.0
143,CH4,0.00E+00,16.0
144,H2CO,0.00E+00,30.0
145,HCNH+,0.00E+00,28.0
146,HCN,0.00E+00,27.0
147,HCO,0.00E+00,29.0
148,N2,0.00E+00,28.0
149,O2,0.00E+00,32.0
150,NO,0.00E+00,30.0
151,CH2,0.00E+00,14.0
152,S,0.00E+00,32.0
153,NH,0.00E+00,15.0
154,H2O,0.00E+00,18.0
155,CH,0.00E+00,13.0
156,HCO+,0.00E+00,29.0
157,CN,0.00E+00,26.0
158,CH3,0.00E+00,15.0
159,C,0.00E+00,12.0
160,He,1.00E-01,4.0
161,N,8.00E-05,14.0
162,OH,0.00E+00,17.0
163,O,3.20E-04,16.0
164,CO,0.00E+00,28.0
165,H2,3.00E-01,2.0
166,H,4.00E-01,1.0
167,e-,0.00E+00,0.0
