1,CCl+,0.00E+00,47.0
2,CF+,0.00E+00,31.0
3,F+,1.80E-08,19.0
4,H2CN,0.00E+00,28.0
5,HF+,0.00E+00,20.0
6,HeH+,0.00E+00,5.0
7,H2S2,0.00E+00,66.0
8,N2O,0.00E+00,44.0
9,CH5N,0.00E+00,31.0
10,Fe,0.00E+00,56.0
11,He+,0.00E+00,4.0
12,H2O2,0.00E+00,34.0
13,HCS,0.00E+00,45.0
14,HS2,0.00E+00,65.0
15,HNS+,0.00E+00,47.0
16,CH6N+,0.00E+00,32.0
17,H2F+,0.00E+00,21.0
18,HSO+,0.00E+00,49.0
19,Cl+,1.00E-07,35.0
20,H2Cl+,0.00E+00,37.0
21,O2H,0.00E+00,33.0
22,NS,0.00E+00,46.0
23,CH5N+,0.00E+00,31.0
24,H2S2+,0.00E+00,66.0
25,H3S2+,0.00E+00,67.0
26,HCl+,0.00E+00,36.0
27,S2+,0.00E+00,64.0
28,HCl,0.00E+00,36.0
29,S2,0.00E+00,64.0
30,CH3N,0.00E+00,29.0
31,H2CS,0.00E+00,46.0
32,O2H+,0.00E+00,33.0
33,H2NO+,0.00E+00,32.0
34,HF,0.00E+00,20.0
35,H2CS+,0.00E+00,46.0
36,F,0.00E+00,19.0
37,HOC+,0.00E+00,29.0
38,NS+,0.00E+00,46.0
39,H3CS+,0.00E+00,47.0
40,S2H+,0.00E+00,65.0
41,H3+,0.00E+00,3.0
42,CH4O+,0.00E+00,32.0
43,CH4N+,0.00E+00,30.0
44,Cl,0.00E+00,35.0
45,CH5O+,0.00E+00,33.0
46,C2H5+,0.00E+00,29.0
47,HNC+,0.00E+00,27.0
48,N2+,0.00E+00,28.0
49,H2NC+,0.00E+00,28.0
50,SO+,0.00E+00,48.0
51,CH5+,0.00E+00,17.0
52,HNO+,0.00E+00,31.0
53,CH4+,0.00E+00,16.0
54,SO,0.00E+00,48.0
55,N2H+,0.00E+00,29.0
56,CN+,0.00E+00,26.0
57,HCS+,0.00E+00,45.0
58,O+,0.00E+00,16.0
59,N+,0.00E+00,14.0
60,H2+,0.00E+00,2.0
61,CH4O,0.00E+00,32.0
62,HNC,0.00E+00,27.0
63,CS+,0.00E+00,44.0
64,H3S+,0.00E+00,35.0
65,O2+,0.00E+00,32.0
66,NH3,0.00E+00,17.0
67,C2H4+,0.00E+00,28.0
68,HNO,0.00E+00,31.0
69,OH+,0.00E+00,17.0
70,H2S,0.00E+00,34.0
71,C2+,0.00E+00,24.0
72,CS,0.00E+00,44.0
73,NH+,0.00E+00,15.0
74,H3CO,0.00E+00,31.0
75,HCN+,0.00E+00,27.0
76,Fe+,1.50E-08,56.0
77,C2H4,0.00E+00,28.0
78,H2S+,0.00E+00,34.0
79,H+,0.00E+00,1.0
80,C2H3,0.00E+00,27.0
81,H2O+,0.00E+00,18.0
82,CO+,0.00E+00,28.0
83,NH2+,0.00E+00,16.0
84,C2,0.00E+00,24.0
85,C2H,0.00E+00,25.0
86,C+,1.40E-04,12.0
87,H3O+,0.00E+00,19.0
88,H2CO+,0.00E+00,30.0
89,HS+,0.00E+00,33.0
90,C2H3+,0.00E+00,27.0
91,H3CO+,0.00E+00,31.0
92,C2H+,0.00E+00,25.0
93,NH4+,0.00E+00,18.0
94,S+,1.80E-05,32.0
95,C2H2+,0.00E+00,26.0
96,CH+,0.00E+00,13.0
97,CH3+,0.00E+00,15.0
98,CH2+,0.00E+00,14.0
99,HS,0.00E+00,33.0
100,NH2,0.00E+00,16.0
101,NO+,0.00E+00,30.0
102,NH3+,0.00E+00,17.0
103,C2H2,0.00E+00,26.0
104,CH4,0.00E+00,16.0
105,H2CO,0.00E+00,30.0
106,HCN,0.00E+00,27.0
107,HCNH+,0.00E+00,28.0
108,HCO,0.00E+00,29.0
109,O2,0.00E+00,32.0
110,N2,0.00E+00,28.0
111,NO,0.00E+00,30.0
112,S,0.00E+00,32.0
113,CH2,0.00E+00,14.0
114,H2O,0.00E+00,18.0
115,NH,0.00E+00,15.0
116,CH,0.00E+00,13.0
117,HCO+,0.00E+00,29.0
118,CN,0.00E+00,26.0
119,CH3,0.00E+00,15.0
120,C,0.00E+00,12.0
121,He,1.00E-01,4.0
122,N,8.00E-05,14.0
123,OH,0.00E+00,17.0
124,O,3.00E-04,16.0
125,CO,0.00E+00,28.0
126,H2,3.00E-01,2.0
127,H,4.00E-01,1.0
128,e-,0.00E+00,0.0
