1,H,H2,,H,H,H,,4.67E-07,-1.00,55000.0,,,,,
2,H,HD,,D,H,H,,4.67E-07,-1.00,55000.0,,,,,
3,H,D2,,H,D,D,,4.67E-07,-1.00,55000.0,,,,,
4,H,CH,,C,H,H,,6.00E-09,0.00,40200.0,,,,,
5,H,CH,,C,H2,,,4.98E-11,0.00,0.0,,,,,
6,H,CD,,C,D,H,,6.00E-09,0.00,40200.0,,,,,
7,H,CD,,C,HD,,,4.98E-11,0.00,0.0,,,,,
8,H,CH2,,CH,H2,,,2.70E-10,0.00,0.0,,,,,
9,H,NH,,N,H2,,,1.73E-11,0.50,2400.0,,,,,
10,H,CHD,,CH,HD,,,1.80E-10,0.00,0.0,,,,,
11,H,CHD,,CD,H2,,,9.00E-11,0.00,0.0,,,,,
12,H,CH3,,CH2,H2,,,1.00E-10,0.00,7600.0,,,,,
13,H,ND,,N,HD,,,1.73E-11,0.50,2400.0,,,,,
14,H,CD2,,CD,HD,,,2.70E-10,0.00,0.0,,,,,
15,H,NH2,,NH,H2,,,5.25E-12,0.80,2200.0,,,,,
16,H,CH2D,,CH2,HD,,,5.00E-11,0.00,7600.0,,,,,
17,H,CH2D,,CHD,H2,,,5.00E-11,0.00,7600.0,,,,,
18,H,CH4,,CH3,H2,,,5.82E-13,3.00,4045.0,,,,,
19,H,OH,,O,H,H,,6.00E-09,0.00,50900.0,,,,,
20,H,OH,,O,H2,,,7.00E-14,2.80,1950.0,,,,,
21,H,NHD,,NH,HD,,,3.50E-12,0.80,2200.0,,,,,
22,H,NHD,,ND,H2,,,1.75E-12,0.80,2200.0,,,,,
23,H,CHD2,,CHD,HD,,,6.67E-11,0.00,7600.0,,,,,
24,H,CHD2,,CD2,H2,,,3.33E-11,0.00,7600.0,,,,,
25,H,NH3,,NH2,H2,,,7.80E-13,2.40,4990.0,,,,,
26,H,CH3D,,H2,CH2D,,,3.49E-13,3.00,4045.0,,,,,
27,H,CH3D,,HD,CH3,,,2.33E-13,3.00,4045.0,,,,,
28,H,OD,,HD,O,,,7.00E-14,2.80,1950.0,,,,,
29,H,OD,,O,D,H,,6.00E-09,0.00,50900.0,,,,,
30,H,H2O,,OH,H,H,,5.80E-09,0.00,52900.0,,,,,
31,H,H2O,,OH,H2,,,6.83E-12,1.60,9720.0,,,,,
32,H,ND2,,NH,D2,,,1.75E-12,0.80,2200.0,,,,,
33,H,ND2,,ND,HD,,,3.50E-12,0.80,2200.0,,,,,
34,H,CD3,,CD2,HD,,,1.00E-10,0.00,7600.0,,,,,
35,H,NH2D,,NH2,HD,,,3.90E-13,2.40,4990.0,,,,,
36,H,NH2D,,NHD,H2,,,3.90E-13,2.40,4990.0,,,,,
37,H,CH2D2,,H2,CHD2,,,2.91E-13,3.00,4045.0,,,,,
38,H,CH2D2,,HD,CH2D,,,2.91E-13,3.00,4045.0,,,,,
39,H,HDO,,OH,D,H,,4.00E-09,0.00,52900.0,,,,,
40,H,HDO,,OH,HD,,,4.55E-12,1.60,9720.0,,,,,
41,H,HDO,,OD,H,H,,2.00E-09,0.00,52900.0,,,,,
42,H,HDO,,OD,H2,,,2.28E-12,1.60,9720.0,,,,,
43,H,NHD2,,NH2,D2,,,1.95E-13,2.40,4990.0,,,,,
