1,CCl+,0.00E+00,47.0
2,CF+,0.00E+00,31.0
3,SiF+,0.00E+00,47.0
4,F+,1.80E-08,19.0
5,H2CN,0.00E+00,28.0
6,HF+,0.00E+00,20.0
7,HeH+,0.00E+00,5.0
8,PAH-,0.00E+00,420.0
9,H2S2,0.00E+00,66.0
10,N2O,0.00E+00,44.0
11,SiCH3,0.00E+00,43.0
12,Mg,0.00E+00,24.0
13,H2*,0.00E+00,2.0
14,CH5N,0.00E+00,31.0
15,O++,0.00E+00,16.0
16,S++,0.00E+00,32.0
17,N++,0.00E+00,14.0
18,C++,0.00E+00,12.0
19,H2O2,0.00E+00,34.0
20,SiH4+,0.00E+00,32.0
21,H2SiO,0.00E+00,46.0
22,HCS,0.00E+00,45.0
23,HS2,0.00E+00,65.0
24,SiH2,0.00E+00,30.0
25,SiH4,0.00E+00,32.0
26,Fe,0.00E+00,56.0
27,He+,0.00E+00,4.0
28,HNS+,0.00E+00,47.0
29,PAH+,6.00E-07,420.0
30,CH6N+,0.00E+00,32.0
31,H2F+,0.00E+00,21.0
32,H2SiO+,0.00E+00,46.0
33,HSO+,0.00E+00,49.0
34,Fe++,0.00E+00,56.0
35,Si++,0.00E+00,28.0
36,H2Cl+,0.00E+00,37.0
37,HNSi,0.00E+00,43.0
38,HSiS+,0.00E+00,61.0
39,O2H,0.00E+00,33.0
40,NS,0.00E+00,46.0
41,SiC,0.00E+00,40.0
42,H2S2+,0.00E+00,66.0
43,H3S2+,0.00E+00,67.0
44,HCl+,0.00E+00,36.0
45,S2+,0.00E+00,64.0
46,PAH,0.00E+00,420.0
47,SiS+,0.00E+00,60.0
48,HNSi+,0.00E+00,43.0
49,SiH5+,0.00E+00,33.0
50,HCSi,0.00E+00,41.0
51,HCl,0.00E+00,36.0
52,S2,0.00E+00,64.0
53,CH3N,0.00E+00,29.0
54,SiS,0.00E+00,60.0
55,SiH,0.00E+00,29.0
56,O2H+,0.00E+00,33.0
57,CH5N+,0.00E+00,31.0
58,H2NO+,0.00E+00,32.0
59,H3SiO+,0.00E+00,47.0
60,Cl+,5.40E-08,35.0
61,HF,0.00E+00,20.0
62,SiCH2,0.00E+00,42.0
63,H2CS,0.00E+00,46.0
64,SiCH4+,0.00E+00,44.0
65,SiN+,0.00E+00,42.0
66,SiNH2+,0.00E+00,44.0
67,SiCH3+,0.00E+00,43.0
68,H2CS+,0.00E+00,46.0
69,HOC+,0.00E+00,29.0
70,SiN,0.00E+00,42.0
71,NS+,0.00E+00,46.0
72,H3CS+,0.00E+00,47.0
73,S2H+,0.00E+00,65.0
74,SiH3,0.00E+00,31.0
75,H3+,0.00E+00,3.0
76,CH4N+,0.00E+00,30.0
77,F,0.00E+00,19.0
78,CH5O+,0.00E+00,33.0
79,CH4O+,0.00E+00,32.0
80,Cl,0.00E+00,35.0
81,SiO+,0.00E+00,44.0
82,HNC+,0.00E+00,27.0
83,N2+,0.00E+00,28.0
84,SiH2+,0.00E+00,30.0
85,SiH3+,0.00E+00,31.0
86,C2H5+,0.00E+00,29.0
87,Mg+,2.70E-07,24.0
88,H2NC+,0.00E+00,28.0
89,CH5+,0.00E+00,17.0
90,SiOH+,0.00E+00,45.0
91,SiC+,0.00E+00,40.0
92,SO+,0.00E+00,48.0
93,SiH+,0.00E+00,29.0
94,HNO+,0.00E+00,31.0
95,CH4+,0.00E+00,16.0
96,HCSi+,0.00E+00,41.0
97,SiCH2+,0.00E+00,42.0
98,N2H+,0.00E+00,29.0
99,CN+,0.00E+00,26.0
100,HCS+,0.00E+00,45.0
101,SO,0.00E+00,48.0
102,CH4O,0.00E+00,32.0
103,HNC,0.00E+00,27.0
104,H2+,0.00E+00,2.0
105,SiO,0.00E+00,44.0
106,CS+,0.00E+00,44.0
107,H3S+,0.00E+00,35.0
108,HNO,0.00E+00,31.0
109,O2+,0.00E+00,32.0
110,O+,0.00E+00,16.0
111,OH+,0.00E+00,17.0
112,N+,0.00E+00,14.0
113,NH3,0.00E+00,17.0
114,C2H4+,0.00E+00,28.0
115,C2+,0.00E+00,24.0
116,H2S,0.00E+00,34.0
117,H3CO,0.00E+00,31.0
118,NH+,0.00E+00,15.0
119,CS,0.00E+00,44.0
120,HCN+,0.00E+00,27.0
121,H2S+,0.00E+00,34.0
122,H2O+,0.00E+00,18.0
123,C2H4,0.00E+00,28.0
124,C2H3,0.00E+00,27.0
125,CO+,0.00E+00,28.0
126,Fe+,2.00E-07,56.0
127,NH2+,0.00E+00,16.0
128,H2CO+,0.00E+00,30.0
129,C2,0.00E+00,24.0
130,C2H,0.00E+00,25.0
131,HS+,0.00E+00,33.0
132,H+,0.00E+00,1.0
133,C2H3+,0.00E+00,27.0
134,H3CO+,0.00E+00,31.0
135,H3O+,0.00E+00,19.0
136,Si,0.00E+00,28.0
137,C+,0.00E+00,12.0
138,C2H+,0.00E+00,25.0
139,NH4+,0.00E+00,18.0
140,Si+,1.70E-06,28.0
141,S+,6.90E-06,32.0
142,C2H2+,0.00E+00,26.0
143,CH+,0.00E+00,13.0
144,CH3+,0.00E+00,15.0
145,CH2+,0.00E+00,14.0
146,NH3+,0.00E+00,17.0
147,NH2,0.00E+00,16.0
148,C2H2,0.00E+00,26.0
149,CH4,0.00E+00,16.0
150,NO+,0.00E+00,30.0
151,HS,0.00E+00,33.0
152,H2CO,0.00E+00,30.0
153,HCNH+,0.00E+00,28.0
154,HCO,0.00E+00,29.0
155,HCN,0.00E+00,27.0
156,N2,0.00E+00,28.0
157,O2,0.00E+00,32.0
158,NO,0.00E+00,30.0
159,CH2,0.00E+00,14.0
160,NH,0.00E+00,15.0
161,H2O,0.00E+00,18.0
162,HCO+,0.00E+00,29.0
163,S,0.00E+00,32.0
164,CH,0.00E+00,13.0
165,CN,0.00E+00,26.0
166,CH3,0.00E+00,15.0
167,He,8.50E-02,4.0
168,C,1.40E-04,12.0
169,N,5.20E-05,14.0
170,OH,0.00E+00,17.0
171,CO,0.00E+00,28.0
172,O,3.40E-04,16.0
173,H2,3.00E-01,2.0
174,H,4.00E-01,1.0
175,e-,0.00E+00,0.0
