1,Mg,0.00E+00,24.0
2,H3+,0.00E+00,3.0
3,He+,0.00E+00,4.0
4,CH5+,0.00E+00,17.0
5,O2,0.00E+00,32.0
6,CH4+,0.00E+00,16.0
7,H2+,0.00E+00,2.0
8,O+,0.00E+00,16.0
9,OH+,0.00E+00,17.0
10,Mg+,2.70E-07,24.0
11,H3O+,0.00E+00,19.0
12,CO+,0.00E+00,28.0
13,H2O+,0.00E+00,18.0
14,CH4,0.00E+00,16.0
15,O2+,0.00E+00,32.0
16,H2O,0.00E+00,18.0
17,C+,1.40E-04,12.0
18,H+,0.00E+00,1.0
19,CH2,0.00E+00,14.0
20,CH3+,0.00E+00,15.0
21,HCO+,0.00E+00,29.0
22,CH3,0.00E+00,15.0
23,CH,0.00E+00,13.0
24,CH2+,0.00E+00,14.0
25,He,8.50E-02,4.0
26,CH+,0.00E+00,13.0
27,C,0.00E+00,12.0
28,CO,0.00E+00,28.0
29,OH,0.00E+00,17.0
30,O,3.40E-04,16.0
31,H2,3.00E-01,2.0
32,H,4.00E-01,1.0
33,e-,0.00E+00,0.0
