Particle # ,      x (cm)      ,      y (cm)      ,      z (cm)      ,  n_H (c^m-3)  ,   T_gas (K)   ,  T_dust (K)   , chi (Draine)  , Type (I|P|D)
         1 , +0.000000000E+00 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
         2 , +5.300259713E+11 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
         3 , +5.830285684E+11 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
         4 , +6.360311655E+11 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
         5 , +6.890337627E+11 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
         6 , +7.420363598E+11 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
         7 , +7.950389569E+11 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
         8 , +8.480415540E+11 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
         9 , +9.010441512E+11 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        10 , +9.540467483E+11 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        11 , +1.007049345E+12 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        12 , +1.060051943E+12 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        13 , +1.113054540E+12 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        14 , +1.166057137E+12 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        15 , +1.219059734E+12 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        16 , +1.272062331E+12 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        17 , +1.325064928E+12 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        18 , +1.378067525E+12 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        19 , +1.431070122E+12 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        20 , +1.484072720E+12 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        21 , +1.537075317E+12 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        22 , +1.590077914E+12 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        23 , +1.643080511E+12 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        24 , +1.696083108E+12 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        25 , +1.749085705E+12 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        26 , +1.802088302E+12 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        27 , +1.855090899E+12 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        28 , +1.908093497E+12 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        29 , +1.961096094E+12 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        30 , +2.014098691E+12 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        31 , +2.067101288E+12 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        32 , +2.120103885E+12 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        33 , +2.173106482E+12 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        34 , +2.226109079E+12 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        35 , +2.279111676E+12 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        36 , +2.332114274E+12 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        37 , +2.385116871E+12 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        38 , +2.438119468E+12 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        39 , +2.491122065E+12 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        40 , +2.544124662E+12 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        41 , +2.597127259E+12 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        42 , +2.650129856E+12 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        43 , +2.703132453E+12 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        44 , +2.756135051E+12 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        45 , +2.809137648E+12 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        46 , +2.862140245E+12 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        47 , +2.915142842E+12 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        48 , +2.968145439E+12 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        49 , +3.021148036E+12 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        50 , +3.074150633E+12 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        51 , +3.127153231E+12 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        52 , +3.180155828E+12 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        53 , +3.233158425E+12 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        54 , +3.286161022E+12 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        55 , +3.339163619E+12 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        56 , +3.392166216E+12 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        57 , +3.445168813E+12 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        58 , +3.498171410E+12 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        59 , +3.551174008E+12 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        60 , +3.604176605E+12 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        61 , +3.657179202E+12 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        62 , +3.710181799E+12 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        63 , +3.763184396E+12 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        64 , +3.816186993E+12 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        65 , +3.869189590E+12 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        66 , +3.922192187E+12 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        67 , +3.975194785E+12 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        68 , +4.028197382E+12 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        69 , +4.081199979E+12 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        70 , +4.134202576E+12 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        71 , +4.187205173E+12 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
