H2+,PHOTON,,H+,H,,,1.000,h2+.pd
H-,PHOTON,,H,e-,,,1.000,hmin.pi
C,PHOTON,,C+,e-,,,1.000,c.pi
CH,PHOTON,,CH+,e-,,,1.000,ch.pi
CH,PHOTON,,C,H,,,1.000,ch.pd
CH+,PHOTON,,C,H+,,,1.000,ch+.pd
CH+,PHOTON,,C+,H,,,0.006,ch+.pd
CH2,PHOTON,,CH,H,,,1.000,ch2.pd
CH2+,PHOTON,,CH,H+,,,0.333,ch2+.pd
CH2+,PHOTON,,CH+,H,,,0.333,ch2+.pd
CH2+,PHOTON,,C+,H2,,,0.333,ch2+.pd
CH3,PHOTON,,CH2,H,,,0.500,ch3.pd
CH3,PHOTON,,CH,H2,,,0.500,ch3.pd
CH4,PHOTON,,CH4+,e-,,,1.000,ch4.pi
CH4,PHOTON,,CH3,H,,,0.155,ch4.pd
CH4,PHOTON,,CH2,H2,,,0.690,ch4.pd
CH4,PHOTON,,CH,H2,H,,0.155,ch4.pd
CH4+,PHOTON,,CH3+,H,,,0.187,ch4+.pd
CH4+,PHOTON,,CH2+,H2,,,0.813,ch4+.pd
OH,PHOTON,,O,H,,,1.000,oh.pd
OH+,PHOTON,,O,H+,,,1.000,oh+.pd
OH+,PHOTON,,O+,H,,,1.000,oh+.pd
H2O,PHOTON,,H2O+,e-,,,1.000,h2o.pi
H2O,PHOTON,,OH,H,,,1.000,h2o.pd
H2O,PHOTON,,O,H2,,,1.000,h2otoo.pd
O2,PHOTON,,O2+,e-,,,1.000,o2.pi
O2,PHOTON,,O,O,,,1.000,o2.pd
O2+,PHOTON,,O,O+,,,1.000,o2+.pd
O3,PHOTON,,O2,O,,,1.000,o3.pd
O3,PHOTON,,O,O,O,,1.000,o3.pd
O2H,PHOTON,,O2,H,,,1.000,ho2.pd
O2H,PHOTON,,OH,O,,,1.000,ho2.pd
H2O2,PHOTON,,OH,OH,,,1.000,h2o2.pd
C2,PHOTON,,C2+,e-,,,1.000,c2.pi
C2,PHOTON,,C,C,,,1.000,c2.pd
C2H,PHOTON,,C2,H,,,1.000,c2h.pd
C2H2,PHOTON,,C2H2+,e-,,,1.000,c2h2.pi
C2H2,PHOTON,,C2H,H,,,1.000,c2h2.pd
C2H4,PHOTON,,C2H4+,e-,,,1.000,c2h4.pi
C2H4,PHOTON,,C2H2,H2,,,1.000,c2h4.pd
C2H6,PHOTON,,C2H6+,e-,,,1.000,c2h6.pi
C3,PHOTON,,C2,C,,,1.000,c3.pd
C3H,PHOTON,,C3,H,,,1.000,c-c3h.pd
HC3,PHOTON,,C3,H,,,1.000,l-c3h.pd
C3H2,PHOTON,,C3H,H,,,1.000,c-c3h2.pd
C3H2,PHOTON,,C3,H2,,,0.500,c-c3h2.pd
H2C3,PHOTON,,C3H,H,,,0.500,l-c3h2.pd
H2C3,PHOTON,,HC3,H,,,0.250,l-c3h2.pd
H2C3,PHOTON,,C3,H2,,,0.250,l-c3h2.pd
C4,PHOTON,,C3,C,,,0.500,l-c4.pd
C4,PHOTON,,C2,C2,,,0.500,l-c4.pd
C4H,PHOTON,,C4,H,,,0.500,l-c4h.pd
C4H,PHOTON,,C2H,C2,,,0.500,l-c4h.pd
C5H,PHOTON,,C3H,C2,,,0.333,l-c5h.pd
C5H,PHOTON,,C2H,C3,,,0.333,l-c5h.pd
C5H,PHOTON,,C5,H,,,0.333,l-c5h.pd
CO,PHOTON,,C,O,,,1.000,co.pd
CO+,PHOTON,,C+,O,,,1.000,co+.pd
HCO,PHOTON,,H,CO,,,1.000,hco.pd
HCO+,PHOTON,,CO+,H,,,1.000,hco+.pd
H2CO,PHOTON,,H2CO+,e-,,,1.000,h2co.pi
H2CO,PHOTON,,CO,H2,,,0.500,h2co.pd
H2CO,PHOTON,,CO,H,H,,0.500,h2co.pd
CO2,PHOTON,,CO,O,,,1.000,co2.pd
NH,PHOTON,,N,H,,,1.000,nh.pd
NH+,PHOTON,,N+,H,,,1.000,nh+.pd
NH2,PHOTON,,NH,H,,,1.000,nh2.pd
NH3,PHOTON,,NH3+,e-,,,1.000,nh3.pi
NH3,PHOTON,,NH2,H,,,1.000,nh3.pd
NH3,PHOTON,,NH,H2,,,0.500,nh3tonh.pd
NH3,PHOTON,,NH,H,H,,0.500,nh3tonh.pd
CN,PHOTON,,C,N,,,1.000,cn.pd
HCN,PHOTON,,CN,H,,,1.000,hcn.pd
HC3N,PHOTON,,CN,C2H,,,1.000,hc3n.pd
