Particle # ,      x (cm)      ,      y (cm)      ,      z (cm)      ,  n_H (c^m-3)  ,   T_gas (K)   ,  T_dust (K)   , chi (Draine)  , Type (I|P|D)
         1 , -3.016960719E+19 , +0.000000000E+00 , +0.000000000E+00 , 3.1622777E+05 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
         2 , -3.016960714E+19 , +0.000000000E+00 , +0.000000000E+00 , 3.1622777E+05 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
         3 , -3.016960713E+19 , +0.000000000E+00 , +0.000000000E+00 , 3.1622777E+05 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
         4 , -3.016960713E+19 , +0.000000000E+00 , +0.000000000E+00 , 3.1622777E+05 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
         5 , -3.016960712E+19 , +0.000000000E+00 , +0.000000000E+00 , 3.1622777E+05 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
         6 , -3.016960712E+19 , +0.000000000E+00 , +0.000000000E+00 , 3.1622777E+05 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
         7 , -3.016960711E+19 , +0.000000000E+00 , +0.000000000E+00 , 3.1622777E+05 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
         8 , -3.016960711E+19 , +0.000000000E+00 , +0.000000000E+00 , 3.1622777E+05 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
         9 , -3.016960710E+19 , +0.000000000E+00 , +0.000000000E+00 , 3.1622777E+05 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        10 , -3.016960710E+19 , +0.000000000E+00 , +0.000000000E+00 , 3.1622777E+05 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        11 , -3.016960709E+19 , +0.000000000E+00 , +0.000000000E+00 , 3.1622777E+05 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        12 , -3.016960709E+19 , +0.000000000E+00 , +0.000000000E+00 , 3.1622777E+05 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        13 , -3.016960708E+19 , +0.000000000E+00 , +0.000000000E+00 , 3.1622777E+05 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        14 , -3.016960708E+19 , +0.000000000E+00 , +0.000000000E+00 , 3.1622777E+05 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        15 , -3.016960707E+19 , +0.000000000E+00 , +0.000000000E+00 , 3.1622777E+05 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        16 , -3.016960707E+19 , +0.000000000E+00 , +0.000000000E+00 , 3.1622777E+05 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        17 , -3.016960706E+19 , +0.000000000E+00 , +0.000000000E+00 , 3.1622777E+05 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        18 , -3.016960706E+19 , +0.000000000E+00 , +0.000000000E+00 , 3.1622777E+05 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        19 , -3.016960705E+19 , +0.000000000E+00 , +0.000000000E+00 , 3.1622777E+05 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        20 , -3.016960705E+19 , +0.000000000E+00 , +0.000000000E+00 , 3.1622777E+05 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        21 , -3.016960704E+19 , +0.000000000E+00 , +0.000000000E+00 , 3.1622777E+05 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        22 , -3.016960704E+19 , +0.000000000E+00 , +0.000000000E+00 , 3.1622777E+05 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        23 , -3.016960703E+19 , +0.000000000E+00 , +0.000000000E+00 , 3.1622777E+05 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        24 , -3.016960703E+19 , +0.000000000E+00 , +0.000000000E+00 , 3.1622777E+05 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        25 , -3.016960702E+19 , +0.000000000E+00 , +0.000000000E+00 , 3.1622777E+05 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        26 , -3.016960702E+19 , +0.000000000E+00 , +0.000000000E+00 , 3.1622777E+05 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        27 , -3.016960701E+19 , +0.000000000E+00 , +0.000000000E+00 , 3.1622777E+05 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        28 , -3.016960701E+19 , +0.000000000E+00 , +0.000000000E+00 , 3.1622777E+05 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        29 , -3.016960700E+19 , +0.000000000E+00 , +0.000000000E+00 , 3.1622777E+05 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        30 , -3.016960700E+19 , +0.000000000E+00 , +0.000000000E+00 , 3.1622777E+05 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        31 , -3.016960699E+19 , +0.000000000E+00 , +0.000000000E+00 , 3.1622777E+05 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        32 , -3.016960699E+19 , +0.000000000E+00 , +0.000000000E+00 , 3.1622777E+05 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        33 , -3.016960698E+19 , +0.000000000E+00 , +0.000000000E+00 , 3.1622777E+05 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        34 , -3.016960698E+19 , +0.000000000E+00 , +0.000000000E+00 , 3.1622777E+05 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        35 , -3.016960697E+19 , +0.000000000E+00 , +0.000000000E+00 , 3.1622777E+05 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        36 , -3.016960697E+19 , +0.000000000E+00 , +0.000000000E+00 , 3.1622777E+05 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        37 , -3.016960696E+19 , +0.000000000E+00 , +0.000000000E+00 , 3.1622777E+05 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        38 , -3.016960696E+19 , +0.000000000E+00 , +0.000000000E+00 , 3.1622777E+05 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        39 , -3.016960695E+19 , +0.000000000E+00 , +0.000000000E+00 , 3.1622777E+05 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
