Particle # ,      x (cm)      ,      y (cm)      ,      z (cm)      ,  n_H (c^m-3)  ,   T_gas (K)   ,  T_dust (K)   , chi (Draine)  , Type (I|P|D)
         1 , +0.000000000E+00 , +0.000000000E+00 , +0.000000000E+00 , 1.7600000E+03 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
         2 , +9.034533601E+10 , +0.000000000E+00 , +0.000000000E+00 , 1.7600000E+03 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
         3 , +9.937986961E+10 , +0.000000000E+00 , +0.000000000E+00 , 1.7600000E+03 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
         4 , +1.084144032E+11 , +0.000000000E+00 , +0.000000000E+00 , 1.7600000E+03 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
         5 , +1.174489368E+11 , +0.000000000E+00 , +0.000000000E+00 , 1.7600000E+03 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
         6 , +1.264834704E+11 , +0.000000000E+00 , +0.000000000E+00 , 1.7600000E+03 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
         7 , +1.355180040E+11 , +0.000000000E+00 , +0.000000000E+00 , 1.7600000E+03 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
         8 , +1.445525376E+11 , +0.000000000E+00 , +0.000000000E+00 , 1.7600000E+03 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
         9 , +1.535870712E+11 , +0.000000000E+00 , +0.000000000E+00 , 1.7600000E+03 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        10 , +1.626216048E+11 , +0.000000000E+00 , +0.000000000E+00 , 1.7600000E+03 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        11 , +1.716561384E+11 , +0.000000000E+00 , +0.000000000E+00 , 1.7600000E+03 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        12 , +1.806906720E+11 , +0.000000000E+00 , +0.000000000E+00 , 1.7600000E+03 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        13 , +1.897252056E+11 , +0.000000000E+00 , +0.000000000E+00 , 1.7600000E+03 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        14 , +1.987597392E+11 , +0.000000000E+00 , +0.000000000E+00 , 1.7600000E+03 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        15 , +2.077942728E+11 , +0.000000000E+00 , +0.000000000E+00 , 1.7600000E+03 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        16 , +2.168288064E+11 , +0.000000000E+00 , +0.000000000E+00 , 1.7600000E+03 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        17 , +2.258633400E+11 , +0.000000000E+00 , +0.000000000E+00 , 1.7600000E+03 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        18 , +2.348978736E+11 , +0.000000000E+00 , +0.000000000E+00 , 1.7600000E+03 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        19 , +2.439324072E+11 , +0.000000000E+00 , +0.000000000E+00 , 1.7600000E+03 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        20 , +2.529669408E+11 , +0.000000000E+00 , +0.000000000E+00 , 1.7600000E+03 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        21 , +2.620014744E+11 , +0.000000000E+00 , +0.000000000E+00 , 1.7600000E+03 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        22 , +2.710360080E+11 , +0.000000000E+00 , +0.000000000E+00 , 1.7600000E+03 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        23 , +2.800705416E+11 , +0.000000000E+00 , +0.000000000E+00 , 1.7600000E+03 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        24 , +2.891050752E+11 , +0.000000000E+00 , +0.000000000E+00 , 1.7600000E+03 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        25 , +2.981396088E+11 , +0.000000000E+00 , +0.000000000E+00 , 1.7600000E+03 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        26 , +3.071741424E+11 , +0.000000000E+00 , +0.000000000E+00 , 1.7600000E+03 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        27 , +3.162086760E+11 , +0.000000000E+00 , +0.000000000E+00 , 1.7600000E+03 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        28 , +3.252432096E+11 , +0.000000000E+00 , +0.000000000E+00 , 1.7600000E+03 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        29 , +3.342777432E+11 , +0.000000000E+00 , +0.000000000E+00 , 1.7600000E+03 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        30 , +3.433122768E+11 , +0.000000000E+00 , +0.000000000E+00 , 1.7600000E+03 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        31 , +3.523468104E+11 , +0.000000000E+00 , +0.000000000E+00 , 1.7600000E+03 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        32 , +3.613813440E+11 , +0.000000000E+00 , +0.000000000E+00 , 1.7600000E+03 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        33 , +3.704158777E+11 , +0.000000000E+00 , +0.000000000E+00 , 1.7600000E+03 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        34 , +3.794504113E+11 , +0.000000000E+00 , +0.000000000E+00 , 1.7600000E+03 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        35 , +3.884849449E+11 , +0.000000000E+00 , +0.000000000E+00 , 1.7600000E+03 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        36 , +3.975194785E+11 , +0.000000000E+00 , +0.000000000E+00 , 1.7600000E+03 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
